date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,city
7/1/2014,84,74,94,75,93,66,102,1985,1980,0,0.16,1.4,houston
7/2/2014,84,74,94,75,93,66,104,1924,1894,0,0.16,5.43,houston
7/3/2014,84,73,94,75,93,66,100,1977,1980,0,0.16,1.29,houston
7/4/2014,82,72,91,75,93,66,101,1910,2009,0.48,0.15,3.49,houston
7/5/2014,82,73,90,75,93,66,102,1924,2009,0.31,0.16,3.04,houston
7/6/2014,81,72,89,75,93,63,101,1970,2005,0.01,0.15,1.73,houston
7/7/2014,84,74,93,75,93,62,100,1972,1980,0.08,0.15,2.32,houston
7/8/2014,83,74,92,75,93,68,104,1892,1980,0,0.15,1.49,houston
7/9/2014,85,74,95,75,93,64,102,1905,1980,0,0.14,2.39,houston
7/10/2014,83,73,93,75,93,65,101,1893,1980,0,0.14,1.75,houston
7/11/2014,83,72,94,75,93,64,103,1905,1980,0,0.13,3.08,houston
7/12/2014,84,74,94,75,93,65,104,1891,1980,0,0.12,5.19,houston
7/13/2014,87,77,96,75,94,66,102,1895,1980,0,0.13,5.4,houston
7/14/2014,86,76,96,75,94,62,103,1990,1980,0,0.12,2.94,houston
7/15/2014,82,75,89,75,94,64,103,1967,2000,0.06,0.12,4.32,houston
7/16/2014,82,73,90,75,94,66,104,1895,1980,0,0.12,2.04,houston
7/17/2014,83,76,89,75,94,67,104,1974,1980,0.39,0.1,2.23,houston
7/18/2014,81,75,87,75,94,67,102,1974,1980,0.04,0.11,2.85,houston
7/19/2014,79,72,85,75,94,68,102,1974,1980,0,0.11,1.51,houston
7/20/2014,83,73,93,75,94,69,102,1970,2000,0.01,0.11,2.08,houston
7/21/2014,87,77,96,75,94,65,101,1989,2000,0,0.1,1.09,houston
7/22/2014,87,77,96,75,94,67,101,1988,2000,0,0.1,2.78,houston
7/23/2014,86,76,95,75,94,64,101,1970,1980,0.07,0.11,2.36,houston
7/24/2014,84,73,94,75,94,68,101,1972,1954,0.01,0.1,2.09,houston
7/25/2014,85,74,95,75,94,65,102,1894,1964,0,0.1,3.74,houston
7/26/2014,87,78,95,75,94,68,105,1972,1954,0,0.11,2.35,houston
7/27/2014,87,77,97,75,95,66,101,1902,1995,0,0.1,5.22,houston
7/28/2014,88,77,99,75,95,66,103,1891,1995,0,0.1,2.52,houston
7/29/2014,83,74,92,75,95,64,101,1994,1907,0.03,0.1,4.7,houston
7/30/2014,83,72,94,75,95,68,102,1994,1914,0,0.09,2.11,houston
7/31/2014,84,73,94,75,95,67,103,1936,1998,3.91,0.09,3.91,houston
8/1/2014,80,73,87,75,95,67,103,1984,1998,0.01,0.1,2.1,houston
8/2/2014,77,71,82,75,95,68,104,1891,1998,0,0.1,1.65,houston
8/3/2014,81,72,89,75,95,66,103,1949,1998,0,0.1,1.77,houston
8/4/2014,83,73,92,75,95,63,102,1976,1951,0,0.11,2.94,houston
8/5/2014,83,74,92,75,95,64,103,1976,1964,0,0.1,2.81,houston
8/6/2014,85,75,94,75,95,64,101,1891,1947,0,0.11,1.2,houston
8/7/2014,87,79,95,75,95,63,104,1891,2003,0,0.11,2.61,houston
8/8/2014,87,77,97,75,95,68,104,1990,1962,0.1,0.1,1.66,houston
8/9/2014,86,77,94,75,95,62,106,1989,1962,0,0.11,1.83,houston
8/10/2014,86,78,94,75,95,62,104,1989,1962,0,0.11,2.88,houston
8/11/2014,86,75,97,75,95,65,102,1989,2011,0.25,0.1,2.72,houston
8/12/2014,87,76,97,75,95,64,105,1989,1962,0,0.11,1.41,houston
8/13/2014,84,73,94,75,95,64,104,2004,1962,0,0.11,1.82,houston
8/14/2014,83,73,93,75,95,65,102,2004,2007,0.02,0.11,2.8,houston
8/15/2014,86,75,96,75,95,61,101,2004,1994,0,0.11,2.74,houston
8/16/2014,89,80,98,75,95,63,102,2004,1925,0,0.12,3.95,houston
8/17/2014,88,78,97,75,95,60,104,1992,1909,0,0.12,3.57,houston
8/18/2014,86,76,96,75,95,62,108,1992,1909,0,0.13,6.69,houston
8/19/2014,85,76,94,75,95,69,107,2000,1909,0,0.13,1.85,houston
8/20/2014,85,74,96,75,95,65,107,1976,1909,0.01,0.13,1.8,houston
8/21/2014,87,76,98,75,94,63,106,1940,1909,0,0.13,2,houston
8/22/2014,87,75,98,75,94,64,106,1976,1980,0,0.13,3.25,houston
8/23/2014,87,75,98,75,94,64,107,1973,1980,0,0.13,2.46,houston
8/24/2014,86,74,98,75,94,54,105,1891,1980,0,0.14,2.48,houston
8/25/2014,87,76,97,75,94,55,103,1891,1924,0,0.13,1.9,houston
8/26/2014,86,74,97,74,94,57,104,1891,2011,0,0.14,1.66,houston
8/27/2014,85,75,94,74,94,59,109,1891,2011,0,0.14,8.32,houston
8/28/2014,83,76,90,74,94,63,107,1992,2011,0,0.14,3.88,houston
8/29/2014,83,75,91,74,93,61,107,1992,2011,0.02,0.15,2.89,houston
8/30/2014,84,75,92,74,93,62,104,1986,2000,0,0.15,2.56,houston
8/31/2014,79,74,84,74,93,62,107,1893,2000,0.83,0.16,5.98,houston
9/1/2014,84,74,93,74,93,63,107,1915,2000,0.36,0.15,2.22,houston
9/2/2014,85,76,94,73,93,60,104,1893,2000,0,0.14,1.81,houston
9/3/2014,84,75,93,73,93,60,105,1987,2000,0,0.14,3.2,houston
9/4/2014,85,76,93,73,92,59,109,1974,2000,0,0.14,2.75,houston
9/5/2014,84,75,93,73,92,55,108,1891,2000,0.03,0.14,2.07,houston
9/6/2014,85,75,95,73,92,56,99,1974,1909,0.16,0.14,2.9,houston
9/7/2014,84,73,95,72,92,59,98,1891,1963,0.42,0.15,4.55,houston
9/8/2014,82,72,92,72,92,58,100,1988,1907,0,0.15,0.87,houston
9/9/2014,85,74,95,72,91,59,100,1988,1909,0,0.15,4.22,houston
9/10/2014,87,78,95,72,91,59,99,1988,1993,0,0.16,1.82,houston
9/11/2014,87,76,97,71,91,56,99,1907,1893,0,0.15,4.81,houston
9/12/2014,82,75,89,71,91,56,101,1907,1909,0.02,0.15,2.25,houston
9/13/2014,72,67,77,71,90,56,102,1907,2011,0.01,0.15,7.73,houston
9/14/2014,71,65,77,70,90,55,100,1940,2011,0,0.15,4.11,houston
9/15/2014,80,68,92,70,90,55,98,1892,1980,0,0.14,3.23,houston
9/16/2014,83,75,91,70,90,53,98,1979,1995,0.12,0.13,1.72,houston
9/17/2014,82,75,89,70,89,55,100,2000,1995,0.25,0.13,1.85,houston
9/18/2014,77,73,81,69,89,54,99,2000,1927,2.31,0.13,2.53,houston
9/19/2014,79,73,84,69,89,51,97,1981,1995,0.2,0.12,6.92,houston
9/20/2014,81,73,89,69,89,54,99,1901,1999,0,0.13,7.66,houston
9/21/2014,82,73,91,68,88,53,100,1983,2005,0,0.13,3.07,houston
9/22/2014,83,72,93,68,88,49,100,1983,2005,0,0.12,3.14,houston
9/23/2014,74,64,84,68,88,49,96,1999,1993,0,0.13,2.37,houston
9/24/2014,75,64,85,67,88,48,95,1975,2013,0,0.13,2.22,houston
9/25/2014,74,68,80,67,87,50,99,1994,2005,0,0.13,3.05,houston
9/26/2014,77,68,86,67,87,49,99,2000,2005,0,0.13,2.86,houston
9/27/2014,79,71,86,66,87,45,100,1942,2005,0,0.13,3.46,houston
9/28/2014,81,72,89,66,87,48,98,1909,1998,0,0.13,1.25,houston
9/29/2014,80,70,89,66,86,47,96,1908,2011,0,0.12,2.51,houston
9/30/2014,80,71,89,65,86,47,95,1890,1998,0,0.13,2.55,houston
10/1/2014,83,72,93,65,86,44,99,1984,1900,0.09,0.15,4.62,houston
10/2/2014,82,71,93,65,86,47,97,1984,1938,0.78,0.16,2.25,houston
10/3/2014,74,63,84,65,85,45,95,1975,1994,0.32,0.17,3.24,houston
10/4/2014,68,59,77,64,85,43,95,1975,2002,0,0.17,3.6,houston
10/5/2014,69,53,85,64,85,41,94,1975,2006,0,0.17,2.9,houston
10/6/2014,75,65,84,64,85,44,94,1975,1928,0.69,0.17,4.42,houston
10/7/2014,78,65,90,63,84,46,95,1889,1956,0,0.17,5.76,houston
10/8/2014,80,69,90,63,84,42,96,1952,1962,0.06,0.17,2.07,houston
10/9/2014,79,68,90,63,84,40,93,1976,1962,0,0.17,3.6,houston
